record_id,authority_id,authority_name,authority_type,parent_authority_id,parent_authority_name,administrative_level,city,district,state,department_id,department_name,department_type,service_id,service_name,service_description,issue_category_id,issue_category,issue_subcategory,jurisdiction_type,zone,ward,local_jurisdiction,responsibility_scope,responsibility_status,contact_name,contact_designation,contact_phone,contact_email,office_address,official_portal,grievance_portal,escalation_level_1,escalation_level_2,escalation_level_3,operating_hours,source_id,source_url,source_title,source_page_or_section,source_date,source_type,source_confidence,verification_status,last_verified,notes
AUTH-001,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",CITY,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-ADMIN,Central Municipal Administration,OTHER,SRV-LMC-GENERAL,General Civic Inquiries & Service Coordination,Central administration and helpline dispatch for municipal civic grievances.,GENERAL_CIVIC,General Civic,General Municipal Assistance,CITY,ALL,ALL,Municipal Corporation Limits,"Overall municipal governance, citizen grievance reception, and inter-departmental routing.",VERIFIED,Shri Gaurav Kumar,Nagar Ayukt (Municipal Commissioner),8189077822,nnlko@nic.in,"Lucknow Nagar Nigam Headquarters, Trilokinath Road, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Zonal Officer,Additional Municipal Commissioner,Municipal Commissioner,24x7 Control Room; Office Hours 10:00 - 17:00,SRC-001,https://lmc.up.nic.in/helpline.aspx,LMC Official Contact and Helpline Directory,Control Room & Office Directory,2024-08-01,OFFICIAL_WEBSITE,HIGH,VERIFIED,2026-09-11,Central gateway for municipal complaints via 1533 helpline.
AUTH-002,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL,Civil Engineering Department,ROADS,SRV-LMC-POTHOLE,Municipal Road Pothole Filling & Patchwork,"Repair and filling of potholes on internal colony streets, link roads, and municipal sector roads.",POTHOLE,Road,Pothole Repair,ROAD,ALL,ALL,Municipal Roads and Colony Streets,"Maintenance, pothole filling, and bituminous patching on roads vested in Lucknow Municipal Corporation.",VERIFIED,Shri Mahesh Chandra Verma,Chief Engineer (Civil/General),8810721504,nnlko@nic.in,"Civil Engineering Wing, LMC Headquarters, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Junior Engineer (Civil) / Assistant Engineer (Civil),Executive Engineer (Civil) of Zone,Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 9 (Chief Engineer Civil),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Statutory duty under UP Municipal Corporations Act 1959 Ch 12; covers roads under LMC jurisdiction only.
AUTH-003,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL,Civil Engineering Department,ROADS,SRV-LMC-ROAD-REPAIR,Municipal Road Surface Reconstruction & Damage Repair,"Resurfacing, reconstruction, and structural repair of damaged municipal roads and caved-in surfaces.",ROAD_DAMAGE,Road,Road Damage / Road Collapse,ROAD,ALL,ALL,Municipal Roads and Colony Streets,"Structural repair, leveling, and reconstruction of eroded or collapsed municipal asphalt and concrete roads.",VERIFIED,Shri Mahesh Chandra Verma,Chief Engineer (Civil/General),8810721504,nnlko@nic.in,"Civil Engineering Wing, LMC Headquarters, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Junior Engineer (Civil) / Assistant Engineer (Civil),Executive Engineer (Civil) of Zone,Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-005,https://lmc.up.nic.in/acts.aspx,"The Uttar Pradesh Municipal Corporations Act, 1959",Chapter 12 (Streets and Public Roads),1959-01-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Obligatory duty under Section 114(29) of UP Municipal Corporations Act 1959.
AUTH-004,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL,Civil Engineering Department,ROADS,SRV-LMC-FOOTPATH,Municipal Footpath & Pedestrian Walkway Maintenance,"Repair and maintenance of pedestrian footpaths, interlocking pavers, and kerbstones.",DAMAGED_FOOTPATH,Road,Damaged Footpath / Broken Pavement,ROAD,ALL,ALL,Pedestrian Footpaths along Municipal Roads,"Repair of broken pavement tiles, missing kerbstones, and pedestrian walkway hazards along LMC roads.",VERIFIED,Shri Mahesh Chandra Verma,Chief Engineer (Civil/General),8810721504,nnlko@nic.in,"Civil Engineering Wing, LMC Headquarters, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Junior Engineer (Civil) / Assistant Engineer (Civil),Executive Engineer (Civil) of Zone,Chief Engineer (Civil),Office Hours 10:00 - 17:00,SRC-005,https://lmc.up.nic.in/acts.aspx,"The Uttar Pradesh Municipal Corporations Act, 1959",Chapter 12 Section 114,1959-01-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Ensures barrier-free pedestrian infrastructure along public streets.
AUTH-005,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-SWM,Health & Sanitation Department,SANITATION,SRV-LMC-GARBAGE-COLLECTION,Municipal Solid Waste Collection & Street Sweeping,"Daily street sweeping, residential waste collection, and clearance of accumulated roadside garbage.",GARBAGE_ACCUMULATION,Sanitation,Unattended Garbage Accumulation,WARD,ALL,ALL,All Wards and Public Spaces,"Door-to-door solid waste collection, street sweeping, and primary transportation to secondary collection points.",VERIFIED,Shri Nand Kishore,Municipal Health Officer (Nagar Swasthya Adhikari),8810721509,nnlko@nic.in,"Health & Sanitation Wing, LMC Headquarters, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Sanitary Inspector (Ward Level),Zonal Sanitary Officer / Zonal Officer,Municipal Health Officer,Morning Operations 06:00 - 14:00; Control Room 24x7,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 7 (Nagar Swasthya Adhikari),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Supported by Environment Engineer Shri Sanjeev Pradhan (8726796666).
AUTH-006,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-SWM,Health & Sanitation Department,SANITATION,SRV-LMC-ILLEGAL-DUMPING,Illegal Garbage Dumping Removal & Enforcement,"Removal of unauthorized garbage dumping from vacant plots, roadside berms, and public spaces.",ILLEGAL_DUMPING,Sanitation,Open Waste Dumping on Public Land,LOCALITY,ALL,ALL,"Public Spaces, Berms and Open Plots","Clearing unauthorized open refuse mounds, deploying mobile lifting teams, and imposing municipal fines.",VERIFIED,Shri Sanjeev Pradhan,Environment Engineer (Paryavaran Abhiyanta),8726796666,nnlko@nic.in,"Solid Waste Management Wing, LMC Headquarters, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Sanitary Inspector / Zonal Sanitary Officer,Environment Engineer,Municipal Health Officer,Operating Hours 06:00 - 18:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 27 (Paryavaran Abhiyanta),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Includes spot challaning under SWM Rules 2016 and LMC bylaws.
AUTH-007,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-SWM,Health & Sanitation Department,SANITATION,SRV-LMC-BIN-CLEARANCE,Community Garbage Bin & Compactor Clearance,"Emptying, clearing, and sanitizing overflowing community bins, dumper placers, and dhalao ghars.",OVERFLOWING_BIN,Sanitation,Overflowing Garbage Bin / Dhalao Ghar,LOCALITY,ALL,ALL,Community Bin Locations and Transfer Stations,Timely mechanised lifting and transfer of secondary waste containers to prevent overflow and litter.,VERIFIED,Shri Nand Kishore,Municipal Health Officer (Nagar Swasthya Adhikari),8810721509,nnlko@nic.in,"Health & Sanitation Wing, LMC Headquarters, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Sanitary Inspector / RR Workshop Dispatcher,Zonal Sanitary Officer,Municipal Health Officer,Daily Shifts 06:00 - 22:00,SRC-005,https://lmc.up.nic.in/acts.aspx,"The Uttar Pradesh Municipal Corporations Act, 1959",Chapter 15 (Scavenging and Cleansing),1959-01-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Transport fleet coordinated via LMC RR Workshop (Chief Engineer E/M).
AUTH-008,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-ELEC,Electrical & Mechanical Department,ELECTRICAL,SRV-LMC-STREETLIGHT-REPAIR,Streetlight Luminaire & Fixture Repair,"Restoring non-functional streetlights, replacing burned LED luminaires, and repairing lamp fixtures.",STREETLIGHT_FAILURE,Streetlight,Streetlight Not Glowing / Dark Street,WARD,ALL,ALL,Public Streets and Municipal Road Lighting,"Maintenance, repair, and replacement of defective municipal streetlights and LED fittings.",VERIFIED,Shri Manoj Prabhat,Chief Engineer (Electrical/Mechanical),8860311555,nnlko@nic.in,"Electrical & Mechanical Wing, RR Workshop, LMC, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Junior Engineer (Electrical) / EESL Field Team,Assistant Engineer (Electrical),Chief Engineer (Electrical/Mechanical),24x7 Monitoring via CCMS; Field Repairs 09:00 - 18:00,SRC-002,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),Item 10 (Chief Engineer Electrical/Mechanical),2024-08-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Supported by concessionaire EESL (SRC-013) for LED fixtures. Excludes upstream power outages.
AUTH-009,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-ELEC,Electrical & Mechanical Department,ELECTRICAL,SRV-LMC-STREETLIGHT-HARDWARE,"Streetlight Bracket, Fitting & Hardware Maintenance","Repair and replacement of damaged streetlight brackets, broken diffusers, hanging fixtures, and timer switches.",STREETLIGHT_DAMAGE,Streetlight,Damaged Streetlight Fixture / Broken Bracket,LOCALITY,ALL,ALL,Streetlight Poles and Municipal Fixtures,"Rectification of physically damaged municipal streetlight fixtures, brackets, arm mountings, and local timer panels.",VERIFIED,Shri Manoj Prabhat,Chief Engineer (Electrical/Mechanical),8860311555,nnlko@nic.in,"Electrical & Mechanical Wing, RR Workshop, LMC, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Junior Engineer (Electrical) / EESL Field Technician,Assistant Engineer (Electrical),Chief Engineer (Electrical/Mechanical),Field Operations 09:00 - 18:00,SRC-013,https://eeslindia.org,National Street Lighting Programme (SLNP) Implementation Framework,Hardware Maintenance Clause,2020-01-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,"Applies to municipal lighting fixtures. If the entire utility pole has collapsed, MVVNL (SRC-008) is responsible."
AUTH-010,AUTH-LMC,Lucknow Municipal Corporation,MUNICIPAL_CORPORATION,AUTH-GOUP-UDD,"Department of Urban Development, Government of Uttar Pradesh",DEPARTMENT,Lucknow,Lucknow,Uttar Pradesh,DEPT-LMC-CIVIL,Civil Engineering Department,DRAINAGE,SRV-LMC-DRAIN-CLEANING,Stormwater Drain Desilting & Unblocking,"Desilting, unclogging, and clearing choke points in roadside stormwater drains and open channels.",BLOCKED_DRAIN,Drainage,Clogged Stormwater Drain / Silted Nala,LOCALITY,ALL,ALL,Roadside Stormwater Drains and Municipal Nalas,"Cleaning, desilting, and unblocking surface stormwater drains and secondary drains to maintain gravity flow.",VERIFIED,Shri Mahesh Chandra Verma,Chief Engineer (Civil/General),8810721504,nnlko@nic.in,"Civil Engineering Wing, LMC Headquarters, Lalbagh, Lucknow-226001",https://lmc.up.nic.in,https://lucknow.everythingcivic.com/citizen/createissue,Junior Engineer (Civil) / Sanitary Inspector,Executive Engineer (Civil) of Zone,Chief Engineer (Civil),Daily Shifts 08:00 - 16:00,SRC-005,https://lmc.up.nic.in/acts.aspx,"The Uttar Pradesh Municipal Corporations Act, 1959",Chapter 10 (Drains and Drainage),1959-01-01,OFFICIAL_DOCUMENT,HIGH,VERIFIED,2026-09-11,Executed jointly by Civil Wing (structural maintenance) and Sanitation Wing (silt clearance).
