jurisdiction_version,version_type,zone_id,zone_number,zone_name,ward_id,ward_number,ward_name_hindi,ward_name_en,administrative_status,geometry_source_id,geometry_status,alignment_status,legacy_ward_num,legacy_ward_name,legal_basis_source_id,effective_from,effective_to,derivation_method,notes
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-001,1,श्रद्धेय अटल बिहारी वाजपेयी वार्ड,Shraddheya Atal Bihari Vajpayee Ward,VERIFIED,NOT_AVAILABLE,NOT_AVAILABLE,NEEDS_REVIEW,,,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Newly created ward under 2022 delimitation incorporating peripheral revenue villages in southern sector; no dedicated pre-2022 legacy polygon.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-002,2,शारदा नगर द्वितीय वार्ड,Sharda Nagar Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,21,Sharda Nagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Sharda Nagar ward (legacy Ward 21); covers southern residential sector.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-003,3,इब्राहिमपुर द्वितीय वार्ड,Ibrahimpur Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,1,Ibrahimpur,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Ibrahimpur ward (legacy Ward 1); covers eastern/Vrindavan colony sectors.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-004,4,इब्राहिमपुर प्रथम वार्ड,Ibrahimpur First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,1,Ibrahimpur,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Ibrahimpur ward (legacy Ward 1); covers core village and Rajani Khand.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-005,5,राजा बिजली पासी द्वितीय वार्ड,Raja Bijli Pasi Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,2,Raja Bijli Pasi,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Raja Bijli Pasi ward (legacy Ward 2); covers southern sector.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-006,6,राजा बिजली पासी प्रथम वार्ड,Raja Bijli Pasi First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,2,Raja Bijli Pasi,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Raja Bijli Pasi ward (legacy Ward 2); covers northern sector.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-06,6,Zone 6 (Chowk / West),WARD-007,7,माननीय लालजी टंडन वार्ड,Mananiya Lalji Tandon Ward,VERIFIED,NOT_AVAILABLE,NOT_AVAILABLE,NEEDS_REVIEW,,,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Newly created ward under 2022 delimitation incorporating Barauna Khand/Hayatnagar peripheral villages.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-02,2,Zone 2 (Aishbagh / Old City South),WARD-008,8,अम्बेडकर नगर वार्ड,Ambedkar Nagar Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,14,Ambedkar Nagar 1st,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Re-aligned from legacy Ambedkar Nagar 1st/2nd into unified ward in Zone 2.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-06,6,Zone 6 (Chowk / West),WARD-009,9,माननीय कल्याण सिंह वार्ड,Mananiya Kalyan Singh Ward,VERIFIED,NOT_AVAILABLE,NOT_AVAILABLE,NEEDS_REVIEW,,,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Newly created ward under 2022 delimitation in western Lucknow; named after former CM Kalyan Singh.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-05,5,Zone 5 (Alambagh / South-West),WARD-010,10,सरोजनी नगर प्रथम वार्ड,Sarojini Nagar First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,4,Sarojni Nagar Part 1,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Sarojini Nagar Part 1 (legacy Ward 4); northern industrial/residential corridor.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-04,4,Zone 4 (Gomti Nagar / East),WARD-011,11,शहीद भगत सिंह द्वितीय वार्ड,Shaheed Bhagat Singh Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,6,Shaheed Bhagat Singh,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Shaheed Bhagat Singh ward (legacy Ward 6); covers Matiyari/BKT corridor.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-04,4,Zone 4 (Gomti Nagar / East),WARD-012,12,खरगापुर सरसवां वार्ड,Khargapur Saraswan Ward,VERIFIED,NOT_AVAILABLE,NOT_AVAILABLE,NEEDS_REVIEW,,,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,"Newly created ward under 2022 delimitation incorporating Khargapur, Saraswan, and Gomti Nagar Extension."
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-04,4,Zone 4 (Gomti Nagar / East),WARD-013,13,शहीद भगत सिंह प्रथम वार्ड,Shaheed Bhagat Singh First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,6,Shaheed Bhagat Singh,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Shaheed Bhagat Singh ward (legacy Ward 6); covers Kanchana Pur/Matiyari.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-04,4,Zone 4 (Gomti Nagar / East),WARD-014,14,भरवारा मल्हौर वार्ड,Bharwara Malhaur Ward,VERIFIED,NOT_AVAILABLE,NOT_AVAILABLE,NEEDS_REVIEW,,,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,"Newly created ward under 2022 delimitation incorporating Bharwara, Malhaur, and Amity University zone."
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-07,7,Zone 7 (Chinhat / Indira Nagar),WARD-015,15,लाल बहादुर शास्त्री प्रथम वार्ड,Lal Bahadur Shastri First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,8,Lal Bahadur Shastri 1st,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Lal Bahadur Shastri ward (legacy Ward 8); northern Indira Nagar sector.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-03,3,Zone 3 (Aliganj / North),WARD-016,16,फैजुल्लागंज चतुर्थ वार्ड,Faizullaganj Fourth Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,12,Faizullah Ganj 2nd,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Reorganized from legacy Faizullah Ganj complex; covers Daud Nagar and IIM Road corridor.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-01,1,Zone 1 (Hazratganj / Central),WARD-017,17,विक्रमादित्य महात्मा गांधी वार्ड,Vikramaditya Mahatma Gandhi Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,107,Vikramaditya Ward,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,"Core historical central municipal ward comprising Vikramaditya Marg, Raj Bhavan, and Gautampalli."
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-05,5,Zone 5 (Alambagh / South-West),WARD-018,18,सरोजनी नगर द्वितीय वार्ड,Sarojini Nagar Second Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,15,Sarojni Nagar Part 2,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Sarojini Nagar Part 2 (legacy Ward 15); covers southern airport link corridor.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-08,8,Zone 8 (Sarojini Nagar / South),WARD-019,19,शारदा नगर प्रथम वार्ड,Sharda Nagar First Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,21,Sharda Nagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Sharda Nagar ward (legacy Ward 21); covers Sector G/Ruchi Khand.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-06,6,Zone 6 (Chowk / West),WARD-020,20,न्यू हैदरगंज तृतीय वार्ड,New Haiderganj Third Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,83,Haidar Ganj 3rd,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Bifurcated from legacy Haidar Ganj 3rd (legacy Ward 83); covers Campbell Road and Para sectors.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-02,2,Zone 2 (Aishbagh / Old City South),WARD-021,21,मालवीय नगर वार्ड,Malviya Nagar Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,7,Malviya Nagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable historical ward in Aishbagh / Old City South.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-03,3,Zone 3 (Aliganj / North),WARD-022,22,जानकीपुरम तृतीय वार्ड,Jankipuram Third Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,PARTIALLY_VERIFIED,75,Jankipuram,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Expanded from legacy Jankipuram ward; covers Sector J and extension colonies.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-05,5,Zone 5 (Alambagh / South-West),WARD-023,23,गुरु नानक नगर वार्ड,Guru Nanak Nagar Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,87,Guru Nanak Nagar,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable historical ward in Alambagh commercial center.
LKO-JUR-2023-01,CIVICTRACE_INTERNAL,ZONE-06,6,Zone 6 (Chowk / West),WARD-024,24,साआदतगंज वार्ड,Saadatganj Ward,VERIFIED,SRC-GIS-001,SECONDARY_LEGACY,VERIFIED,91,Saadat Ganj,SRC-GIS-002,2022-10-31,,PRIMARY_ADMINISTRATIVE_RECORD,Stable historical Old City ward with heritage fabric.
