evidence_id,evidence_chain_id,incident_id,evidence_type,evidence_stage,evidence_scope,file_path,latitude,longitude,capture_time,source_type,resolution_label,evidence_quality,confidence,source_id,source_reference,location_status,notes
CT-EVD-001,CHAIN-001,CT-INC-001,DOCUMENTARY_EVIDENCE,BEFORE,CONDITION,,26.85028,80.94382,2026-08-15T11:20:00Z,REAL_DOCUMENTED,FULLY_RESOLVED,HIGH,0.95,SRC-007,Lucknow Circle / Provincial Division Road Condition Schedule Section 4,APPROXIMATE,"Real publicly documented baseline pavement distress on MG Marg arterial corridor near GPO recorded in UP PWD road schedule. Coordinates approximate to corridor."
CT-EVD-002,CHAIN-001,CT-INC-001,AFTER_PHOTO,AFTER,RESOLUTION,synthetic://CT-INC-001/after-patch-repair,26.85028,80.94382,2026-08-18T16:45:00Z,SYNTHETIC_EVALUATION,FULLY_RESOLVED,HIGH,0.90,SRC-007,"Synthetic evaluation scenario: PWD road maintenance division post-overlay inspection photograph",APPROXIMATE,"Synthetic evaluation photo demonstrating complete bituminous patch repair and surface leveling executed by PWD maintenance gang. Establishes complete resolution chain with CT-EVD-001."
CT-EVD-003,CHAIN-002,CT-INC-004,CITIZEN_PHOTO,BEFORE,INCIDENT,synthetic://CT-INC-004/before-road-waterlogging,26.85115,80.92992,2026-09-03T09:05:00Z,SYNTHETIC_EVALUATION,PARTIALLY_RESOLVED,MEDIUM,0.85,SRC-002,"Synthetic evaluation scenario: Citizen mobile photograph of caved-in colony road and standing storm runoff",APPROXIMATE,"Initial citizen complaint photo showing asphalt potholes filled with stagnant rainwater along residential colony road."
CT-EVD-004,CHAIN-002,CT-INC-004,FIELD_INSPECTION,AFTER,RESOLUTION,synthetic://CT-INC-004/after-partial-repair-inspection,26.85115,80.92992,2026-09-05T14:30:00Z,SYNTHETIC_EVALUATION,PARTIALLY_RESOLVED,HIGH,0.90,SRC-002,"Synthetic evaluation scenario: LMC Civil Zone 3 Junior Engineer field inspection report Item 30",APPROXIMATE,"Field inspection confirms stone grit backfilling completed over road depression but roadside drainage berm remains choked with debris; stagnant water persists. Ground truth = PARTIALLY_RESOLVED."
CT-EVD-005,CHAIN-003,CT-INC-003,CITIZEN_PHOTO,BEFORE,CONDITION,synthetic://CT-INC-003/unlocalized-pothole-photo,,,2026-09-02T14:40:00Z,SYNTHETIC_EVALUATION,INSUFFICIENT_EVIDENCE,LOW,0.40,SRC-001,"Synthetic evaluation scenario: Citizen upload via helpline portal with EXIF stripped and missing location metadata",UNKNOWN,"Difficult Case C evaluation test: Close-up photograph of asphalt pothole with completely blurred background and missing GPS metadata. Cannot correlate to any ward or physical asset. Ground truth = INSUFFICIENT_EVIDENCE."
CT-EVD-006,CHAIN-004,CT-INC-019,CITIZEN_PHOTO,BEFORE,INCIDENT,synthetic://CT-INC-019/before-transformer-sparking,26.85184,80.92804,2026-09-10T20:15:00Z,SYNTHETIC_EVALUATION,NOT_RESOLVED,HIGH,0.90,SRC-008,"Synthetic evaluation scenario: Nighttime citizen video frame of sparking distribution transformer terminal",APPROXIMATE,"Difficult Case B evaluation test: Clear photograph capturing active electrical arcing and smoke at pole-mounted transformer. No subsequent repair or disconnector maintenance evidence exists. Ground truth = NOT_RESOLVED."
CT-EVD-007,CHAIN-005,CT-INC-010,CITIZEN_PHOTO,BEFORE,LOCATION,synthetic://CT-INC-010/conflicting-gps-waterlogging,26.85025,80.94380,2026-09-05T12:15:00Z,SYNTHETIC_EVALUATION,INSUFFICIENT_EVIDENCE,MEDIUM,0.50,SRC-005,"Synthetic evaluation scenario: Citizen geotagged smartphone photo demonstrating text vs EXIF spatial discordance",CONFLICT,"Difficult Case D evaluation test: Citizen complaint text explicitly specifies Kapoorthala Aliganj but embedded camera EXIF coordinates point to Hazratganj (~1.4 km distant). Location status flagged CONFLICT without coordinate mutation; ground truth = INSUFFICIENT_EVIDENCE."
CT-EVD-008,CHAIN-006,CT-INC-014,CITIZEN_PHOTO,BEFORE,CONDITION,synthetic://CT-INC-014/before-sewer-surcharge,26.85304,80.94423,2026-09-07T15:25:00Z,SYNTHETIC_EVALUATION,NOT_RESOLVED,HIGH,0.90,SRC-011,"Synthetic evaluation scenario: Citizen photo documenting surcharging sewer manhole in Hazratganj commercial lane",APPROXIMATE,"Initial citizen grievance photograph showing raw wastewater surcharging through manhole cover onto commercial lane pavement."
CT-EVD-009,CHAIN-006,CT-INC-014,AUTHORITY_UPDATE,AFTER,AUTHORITY_UPDATE,,,,2026-09-08T11:00:00Z,SYNTHETIC_EVALUATION,NOT_RESOLVED,MEDIUM,0.60,SRC-006,"Synthetic evaluation scenario: Jansunwai grievance portal departmental action-taken text entry",NOT_APPLICABLE,"Authority portal status update text stating: 'Suction jetting vehicle deployed, blockage cleared, grievance marked resolved.' No supporting verification photograph or inspector sign-off attached."
CT-EVD-010,CHAIN-006,CT-INC-014,CITIZEN_PHOTO,AFTER,RESOLUTION,synthetic://CT-INC-014/citizen-followup-sewer-persists,26.85304,80.94423,2026-09-08T13:15:00Z,SYNTHETIC_EVALUATION,NOT_RESOLVED,HIGH,0.95,SRC-006,"Synthetic evaluation scenario: Citizen rejoinder photograph uploaded to portal 2 hours post-closure",APPROXIMATE,"Intentional contradiction test: Citizen follow-up photo taken 2 hours after authority closure shows black wastewater continuing to bubble out of the same manhole. Contradicts authority closure text. Validates CONTRADICTORY_RESOLUTION_EVIDENCE warning. Ground truth remains NOT_RESOLVED."
CT-EVD-011,CHAIN-007,CT-INC-016,CITIZEN_PHOTO,BEFORE,CONDITION,synthetic://CT-INC-016/pitch-black-blurry-streetlight,26.90653,80.94424,2026-09-08T18:40:00Z,SYNTHETIC_EVALUATION,INSUFFICIENT_EVIDENCE,UNUSABLE,0.20,SRC-013,"Synthetic evaluation scenario: Severe motion blur and pitch-black underexposure citizen camera artifact",APPROXIMATE,"Poor-quality evidence test case: Smartphone photograph taken in complete darkness with severe motion blur; luminaire fixture pole tag and background are completely indiscernible. Quality = UNUSABLE; ground truth = INSUFFICIENT_EVIDENCE."
