incident_id,record_type,created_at,description,language,issue_category,issue_subcategory,severity,latitude,longitude,location_status,ward_id,zone_id,asset_id,authority_id,department,service,responsibility_status,confidence,source_id,source_reference,notes
CT-INC-001,REAL_DOCUMENTED,2026-08-15T11:20:00Z,Large deep pothole and bituminous disintegration on Hazratganj arterial corridor near GPO causing vehicle damage.,ENGLISH,POTHOLE,Major Arterial Road Pothole,HIGH,26.85028,80.94382,APPROXIMATE,WARD-034,ZONE-01,AST-ROAD-001,AUTH-UPPWD,DEPT-PWD-LKO-CIRCLE,SRV-PWD-ROAD-REPAIR,VERIFIED,HIGH,SRC-007,Lucknow Circle / Provincial Division Road Schedule,"Real publicly documented arterial road distress on Mahatma Gandhi Marg PWD corridor. Location approximate; linked to AST-ROAD-001. Maintained by UP PWD Lucknow Circle per Citizen Charter."
CT-INC-002,SYNTHETIC_EVALUATION,2026-09-02T10:15:00Z,"हज़रतगंज मार्केट की आंतरिक सड़क पर बहुत बड़ा गड्ढा हो गया है, गाड़ियाँ टकरा रही हैं।",HINDI,POTHOLE,Internal Colony / Market Road Pothole,MEDIUM,26.85242,80.94513,APPROXIMATE,WARD-034,ZONE-01,AST-ROAD-002,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-POTHOLE,INFERRED,HIGH,SRC-005,Chapter 12 (Streets and Public Roads),"Synthetic evaluation scenario for municipal market lane pothole. Linked to AST-ROAD-002. Maintenance responsibility belongs to LMC Civil Engineering Dept Zone 1 under UP Municipal Corporations Act 1959 Ch 12."
CT-INC-003,SYNTHETIC_EVALUATION,2026-09-02T14:40:00Z,"Market ke paas main road par bada gaddha hai, please jaldi repair karwayein.",HINGLISH,POTHOLE,Pothole Repair,MEDIUM,,,NEEDS_REVIEW,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_REVIEW,UNKNOWN,SRV-LMC-POTHOLE,NEEDS_REVIEW,LOW,SRC-001,Control Room & Office Directory,"Difficult Case C: Incomplete location. Citizen description omits locality and landmarks; no GPS coordinates provided. Requires intake review before spatial routing or asset assignment can occur."
CT-INC-004,SYNTHETIC_EVALUATION,2026-09-03T09:05:00Z,"Colony road poori tarah damage ho chuki hai aur side mein waterlogging ho rahi hai after slight rain.",MIXED,ROAD_DAMAGE,Road Damage and Surface Waterlogging,HIGH,26.85115,80.92992,APPROXIMATE,WARD-109,ZONE-03,AST-ROAD-004,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-ROAD-REPAIR,INFERRED,MEDIUM,SRC-002,Item 30 (Executive Engineer Zone 3),"Difficult Case A: Multi-issue complaint (ROAD_DAMAGE + WATERLOGGING). Single-issue schema limitation: categorized primarily under ROAD_DAMAGE with waterlogging secondary distress noted. Routed to LMC Civil Engineering Dept Zone 3."
CT-INC-005,SYNTHETIC_EVALUATION,2026-09-03T11:30:00Z,Unattended municipal garbage mound accumulating along the road berm near Guru Nanak Nagar market.,ENGLISH,GARBAGE_ACCUMULATION,Unattended Roadside Garbage Mound,MEDIUM,26.88050,80.99185,APPROXIMATE,WARD-023,ZONE-05,UNKNOWN,AUTH-LMC,DEPT-LMC-SWM,SRV-LMC-GARBAGE-COLLECTION,VERIFIED,HIGH,SRC-002,Item 7 (Nagar Swasthya Adhikari),"Refinement 3 case: Valid CivicTrace evaluation record concerning diffuse solid waste accumulation. Phase 3A models static physical infrastructure, not dynamic waste piles; asset_id is intentionally UNKNOWN. Maintained by LMC Health & Sanitation Dept."
CT-INC-006,SYNTHETIC_EVALUATION,2026-09-04T08:45:00Z,"खाली प्लॉट में लगातार अवैध रूप से कचरा डंप किया जा रहा है जिससे गंभीर बदबू और बीमारी का खतरा है।",HINDI,ILLEGAL_DUMPING,Open Waste Dumping on Vacant Land,HIGH,26.85310,80.90940,APPROXIMATE,WARD-106,ZONE-06,UNKNOWN,AUTH-LMC,DEPT-LMC-SWM,SRV-LMC-ILLEGAL-DUMPING,VERIFIED,HIGH,SRC-002,Item 27 (Paryavaran Abhiyanta),"Refinement 3 case: Valid evaluation record for unauthorized open waste dumping. Diffuse waste on private/public open plot; no dedicated static physical asset in Phase 3A; asset_id is UNKNOWN. Removal and enforcement by LMC SWM Wing under Environment Engineer."
CT-INC-007,SYNTHETIC_EVALUATION,2026-09-04T16:20:00Z,"Indira Nagar Sector 14 mein community dustbin overflow kar raha hai aur kachra sadak par bikhar gaya hai.",HINGLISH,OVERFLOWING_BIN,Overflowing Community Waste Bin,MEDIUM,26.90540,80.94520,APPROXIMATE,WARD-080,ZONE-07,UNKNOWN,AUTH-LMC,DEPT-LMC-SWM,SRV-LMC-BIN-CLEARANCE,VERIFIED,HIGH,SRC-005,Chapter 15 (Scavenging and Cleansing),"Refinement 3 case: Overflowing secondary waste bin container. Valid evaluation record; unlinked to Phase 3A static asset inventory as dynamic bin containers are not modeled; asset_id is UNKNOWN. Handled by LMC Health & Sanitation Wing."
CT-INC-008,REAL_DOCUMENTED,2026-08-20T15:10:00Z,Heavy silt accumulation and blockages in covered stormwater trunk drain near Trilokinath Road causing water backup.,ENGLISH,BLOCKED_DRAIN,Covered Trunk Drain Desilting,HIGH,26.85423,80.94372,APPROXIMATE,WARD-034,ZONE-01,AST-DRN-001,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-DRAIN-CLEANING,VERIFIED,HIGH,SRC-005,Chapter 10 (Drains and Drainage),"Real publicly documented pre-monsoon trunk drain siltation along Kaiserbagh Trilokinath Road culvert. Linked to AST-DRN-001. Statutory municipal duty of LMC Civil Engineering Dept under UP Act 1959 Ch 10."
CT-INC-009,SYNTHETIC_EVALUATION,2026-09-05T07:50:00Z,"ऐशबाग मिल नाले में भारी कचरा फंसने से गंदा पानी ओवरफ्लो होकर मुख्य मार्ग पर बह रहा है।",HINDI,BLOCKED_DRAIN,Major Open Nala Siltation,CRITICAL,26.84355,80.88904,APPROXIMATE,WARD-026,ZONE-02,AST-DRN-002,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-DRAIN-CLEANING,VERIFIED,HIGH,SRC-005,Chapter 10 (Drains and Drainage),"Synthetic evaluation scenario for major open masonry nala choke point. Linked to AST-DRN-002. Maintained by LMC Civil Division Zone 2; critical monsoon overflow hazard."
CT-INC-010,SYNTHETIC_EVALUATION,2026-09-05T12:15:00Z,"Kapoorthala Aliganj crossing par drain block hone se sadak par 2 feet paani bhar gaya hai, traffic jammed.",HINGLISH,WATERLOGGING,Commercial Intersection Waterlogging,HIGH,26.85025,80.94380,NEEDS_REVIEW,WARD-109,ZONE-03,AST-DRN-003,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-WATERLOGGING-PUMPING,INFERRED,LOW,SRC-005,Chapter 10 Section 114,"Difficult Case D: Spatial text vs coordinate conflict. Citizen text explicitly cites Kapoorthala Aliganj (Ward 109, Zone 3), but submitted GPS points to Hazratganj (Ward 34, Zone 1) ~1.4km away. Validator flags SPATIAL_REVIEW_REQUIRED / CONFLICT."
