rule_id,issue_category,authority_id,priority,rule_type,target_hours,escalation_threshold_hours,action,source_id,source_reference,notes
SLA-RULE-001,POTHOLE,AUTH-LMC,MEDIUM,CIVICTRACE_PILOT_RULE,48,72,ESCALATE_TO_L1,SRC-005,"CivicTrace Pilot Rule anchored to UP Act 1959 Ch 12 (Streets and Public Roads)","CivicTrace Pilot Target: 48h resolution for municipal road potholes; prototype escalation to JE/AE Civil after 72h."
SLA-RULE-002,POTHOLE,AUTH-UPPWD,HIGH,CIVICTRACE_PILOT_RULE,48,72,ESCALATE_TO_L1,SRC-007,"CivicTrace Pilot Rule anchored to UP PWD Provincial Division Road Schedule","CivicTrace Pilot Target: 48h patch repair on arterial corridors; prototype escalation to Assistant Engineer PWD after 72h."
SLA-RULE-003,ROAD_DAMAGE,AUTH-LMC,HIGH,CIVICTRACE_PILOT_RULE,72,120,ESCALATE_TO_L1,SRC-005,"CivicTrace Pilot Rule anchored to UP Act 1959 Ch 12 (Streets and Public Roads)","CivicTrace Pilot Target: 72h for municipal road collapse or structural damage; prototype escalation to Executive Engineer Civil after 120h."
SLA-RULE-004,ROAD_DAMAGE,AUTH-UPPWD,HIGH,CIVICTRACE_PILOT_RULE,48,96,ESCALATE_TO_L1,SRC-007,"CivicTrace Pilot Rule anchored to UP PWD Citizen Charter","CivicTrace Pilot Target: 48h emergency leveling on state highway/arterial road; prototype escalation to Executive Engineer PWD after 96h."
SLA-RULE-005,ROAD_DAMAGE,AUTH-LDA,MEDIUM,CIVICTRACE_PILOT_RULE,72,144,ESCALATE_TO_L1,SRC-012,"CivicTrace Pilot Rule anchored to LDA Engineering Wing Mandate (UP Act 30 of 1973)","CivicTrace Pilot Target: 72h road repair in un-transferred LDA layout; prototype escalation to Executive Engineer LDA after 144h."
SLA-RULE-006,DAMAGED_FOOTPATH,AUTH-LMC,LOW,CIVICTRACE_PILOT_RULE,72,120,ESCALATE_TO_L1,SRC-005,"CivicTrace Pilot Rule anchored to UP Act 1959 Ch 12 Section 114","CivicTrace Pilot Target: 72h footpath paver/kerbstone rectification; prototype escalation to JE Civil after 120h."
SLA-RULE-007,GARBAGE_ACCUMULATION,AUTH-LMC,MEDIUM,CIVICTRACE_PILOT_RULE,24,48,ESCALATE_TO_L1,SRC-002,"CivicTrace Pilot Rule anchored to LMC Sanitation Wing (Nagar Swasthya Adhikari)","CivicTrace Pilot Target: 24h clearance of roadside waste accumulation; prototype escalation to Sanitary Inspector after 48h."
SLA-RULE-008,ILLEGAL_DUMPING,AUTH-LMC,MEDIUM,CIVICTRACE_PILOT_RULE,48,96,ESCALATE_TO_L1,SRC-002,"CivicTrace Pilot Rule anchored to LMC Environment Engineer (Paryavaran Abhiyanta)","CivicTrace Pilot Target: 48h heavy waste lifting and plot clearance; prototype escalation to Zonal Sanitary Officer after 96h."
SLA-RULE-009,OVERFLOWING_BIN,AUTH-LMC,HIGH,CIVICTRACE_PILOT_RULE,12,24,ESCALATE_TO_L1,SRC-005,"CivicTrace Pilot Rule anchored to UP Act 1959 Ch 15 (Scavenging and Cleansing)","CivicTrace Pilot Target: 12h dumper placer/dhalao container clearance; prototype escalation to RR Workshop Dispatcher after 24h."
SLA-RULE-010,STREETLIGHT_FAILURE,AUTH-LMC,MEDIUM,CIVICTRACE_PILOT_RULE,48,72,ESCALATE_TO_L1,SRC-013,"CivicTrace Pilot Rule anchored to EESL SLNP Maintenance Framework & LMC E/M Wing","CivicTrace Pilot Target: 48h dark streetlight LED luminaire restoration; prototype escalation to JE Electrical / EESL after 72h."
SLA-RULE-011,STREETLIGHT_DAMAGE,AUTH-LMC,MEDIUM,CIVICTRACE_PILOT_RULE,48,96,ESCALATE_TO_L1,SRC-013,"CivicTrace Pilot Rule anchored to EESL SLNP Hardware Maintenance Clause","CivicTrace Pilot Target: 48h broken bracket or fixture repair; prototype escalation to AE Electrical after 96h."
SLA-RULE-012,BLOCKED_DRAIN,AUTH-LMC,HIGH,CIVICTRACE_PILOT_RULE,24,48,ESCALATE_TO_L1,SRC-005,"CivicTrace Pilot Rule anchored to UP Act 1959 Ch 10 (Drains and Drainage)","CivicTrace Pilot Target: 24h culvert choke removal and desilting; prototype escalation to Zonal Executive Engineer Civil after 48h."
SLA-RULE-013,WATERLOGGING,AUTH-LMC,CRITICAL,CIVICTRACE_PILOT_RULE,6,12,DISPATCH_EMERGENCY_TEAM,SRC-005,"CivicTrace Pilot Rule anchored to UP Act 1959 Ch 10 Section 114","CivicTrace Pilot Target: 6h portable de-watering pump deployment during waterlogging; prototype escalation to Chief Engineer Civil after 12h."
SLA-RULE-014,WATER_LEAKAGE,AUTH-LKO-JALSANSTHAN,MEDIUM,CIVICTRACE_PILOT_RULE,24,48,ESCALATE_TO_L1,SRC-011,"CivicTrace Pilot Rule anchored to UP Act 43 of 1975 (Water Supply and Sewerage)","CivicTrace Pilot Target: 24h underground reticulation leak isolation and repair; prototype escalation to JE Water Supply after 48h."
SLA-RULE-015,BROKEN_PIPELINE,AUTH-LKO-JALSANSTHAN,CRITICAL,CIVICTRACE_PILOT_RULE,6,12,DISPATCH_EMERGENCY_TEAM,SRC-011,"CivicTrace Pilot Rule anchored to UP Act 43 of 1975 Section 20","CivicTrace Pilot Target: 6h burst water trunk main containment and emergency valve shutdown; prototype escalation to Executive Engineer Water after 12h."
SLA-RULE-016,SEWER_OVERFLOW,AUTH-LKO-JALSANSTHAN,HIGH,CIVICTRACE_PILOT_RULE,24,48,ESCALATE_TO_L1,SRC-011,"CivicTrace Pilot Rule anchored to UP Act 43 of 1975 Section 18","CivicTrace Pilot Target: 24h jetting machine dispatch for surcharging sewer line; prototype escalation to AE Sewerage after 48h."
SLA-RULE-017,SEWER_INFRASTRUCTURE,AUTH-UPJN-URBAN,MEDIUM,CIVICTRACE_PILOT_RULE,168,336,ESCALATE_TO_L2,SRC-009,"CivicTrace Pilot Rule anchored to UP Jal Nigam (Urban) Capital Scheme Mandate","CivicTrace Pilot Target: 168h (7 days) investigation of trunk sewer collapse or STP inflow defects; prototype escalation to Project Manager UPJN after 336h."
SLA-RULE-018,ELECTRICAL_INFRASTRUCTURE,AUTH-MVVNL,CRITICAL,CIVICTRACE_PILOT_RULE,4,8,DISPATCH_EMERGENCY_TEAM,SRC-008,"CivicTrace Pilot Rule anchored to MVVNL Consumer Service Standards (CONF-003)","CivicTrace Pilot Target: 4h emergency isolation for sparking transformer or snapped conductor; prototype escalation to LESA SDO after 8h."
SLA-RULE-019,POWER_OUTAGE,AUTH-MVVNL,HIGH,CIVICTRACE_PILOT_RULE,6,12,ESCALATE_TO_L1,SRC-008,"CivicTrace Pilot Rule anchored to MVVNL Distribution Supply Operations (1912)","CivicTrace Pilot Target: 6h distribution feeder restoration; prototype escalation to Executive Engineer Distribution after 12h."
SLA-RULE-020,ANIMAL_NUISANCE,AUTH-LMC,CRITICAL,CIVICTRACE_PILOT_RULE,12,24,DISPATCH_EMERGENCY_TEAM,SRC-002,"CivicTrace Pilot Rule anchored to LMC Animal Welfare / Health Department","CivicTrace Pilot Target: 12h dead animal carcass lifting or aggressive stray containment; prototype escalation to Nagar Swasthya Adhikari after 24h."
SLA-RULE-021,GENERAL_CIVIC,AUTH-LMC,LOW,CIVICTRACE_PILOT_RULE,48,96,ESCALATE_TO_L1,SRC-001,"CivicTrace Pilot Rule anchored to LMC Central Helpline 1533","CivicTrace Pilot Target: 48h inter-departmental intake referral; prototype escalation to Zonal Officer after 96h."
