duplicate_record_id,cluster_id,incident_id,data_mode,complaint_text,language,issue_category,issue_subcategory,latitude,longitude,location_status,ward_id,zone_id,asset_id,authority_id,duplicate_label,duplicate_reason,reference_record_id,evidence_available,source_type,source_id,source_reference,curation_confidence,notes
CT-DUP-001,CLUSTER-001,CT-INC-001,SYNTHETIC_EVALUATION,"Massive crater-like pothole on Mahatma Gandhi Marg near GPO Hazratganj, damaging two-wheelers and disrupting traffic.",ENGLISH,POTHOLE,Major Arterial Road Pothole,26.85028,80.94382,APPROXIMATE,WARD-034,ZONE-01,AST-ROAD-001,AUTH-UPPWD,DUPLICATE,Direct duplicate of CT-INC-001 describing identical deep bituminous pothole on MG Marg corridor near GPO with independent citizen phrasing.,CT-INC-001,YES,SYNTHETIC_EVALUATION,SRC-006,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 1A (Same Issue / Different English Wording),0.95,Difficult Case 3: Same issue different wording. Primary benchmark anchor for CLUSTER-001.
CT-DUP-002,CLUSTER-001,CT-INC-001,SYNTHETIC_EVALUATION,"हजरतगंज में जीपीओ के सामने मुख्य सड़क पर बहुत गहरा गड्ढा है, जिससे गाड़ियाँ दुर्घटनाग्रस्त हो रही हैं।",HINDI,POTHOLE,Major Arterial Road Pothole,26.85030,80.94380,APPROXIMATE,WARD-034,ZONE-01,AST-ROAD-001,AUTH-UPPWD,DUPLICATE,Hindi translation equivalent describing the exact same physical crater in front of GPO on MG Marg.,CT-DUP-001,YES,SYNTHETIC_EVALUATION,SRC-006,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 1B (Same Issue / Devanagari Hindi Text),0.95,Difficult Case 2: Same issue different language (Devanagari Hindi vs English).
CT-DUP-003,CLUSTER-001,CT-INC-001,SYNTHETIC_EVALUATION,"GPO Hazratganj ke paas main road par bohot bada pothole bana hua hai, accidents ho rahe hain.",HINGLISH,POTHOLE,Major Arterial Road Pothole,26.85055,80.94360,APPROXIMATE,WARD-034,ZONE-01,AST-ROAD-001,AUTH-UPPWD,LIKELY_DUPLICATE,Strong Hinglish semantic match to CT-DUP-001; coordinates are slightly displaced (~35m west along road segment) due to smartphone GPS drift.,CT-DUP-001,NO,SYNTHETIC_EVALUATION,SRC-006,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 1C (Same Issue / Hinglish & Displaced GPS),0.85,Difficult Case 1: Same issue approximate displaced location (~35m delta).
CT-DUP-004,CLUSTER-001,CT-INC-001,SYNTHETIC_EVALUATION,"Pothole near GPO was temporarily filled with loose gravel last week, but rain washed it out and the deep hole is back again.",ENGLISH,POTHOLE,Major Arterial Road Pothole,26.85028,80.94382,APPROXIMATE,WARD-034,ZONE-01,AST-ROAD-001,AUTH-UPPWD,DUPLICATE,Repeat grievance for the identical defect recurring after temporary gravel backfill washed out post-monsoon shower.,CT-DUP-001,YES,SYNTHETIC_EVALUATION,SRC-006,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 1D (Repeated Complaint After Partial Repair),0.90,Difficult Case 6: Same issue reported after partial repair. Ground truth: DUPLICATE.
CT-DUP-005,CLUSTER-001,CT-INC-001,SYNTHETIC_EVALUATION,"Hazratganj crossing se GPO ki taraf aate hue sadak par bada khadda hai, traffic slow ho raha hai.",MIXED,POTHOLE,Major Arterial Road Pothole,26.85100,80.94420,APPROXIMATE,WARD-034,ZONE-01,AST-ROAD-001,AUTH-UPPWD,POSSIBLE_DUPLICATE,Landmark-referenced description pointing toward GPO from crossing; coordinates displaced ~110m northeast. Could refer to same crater or adjacent distress.,CT-DUP-001,NO,SYNTHETIC_EVALUATION,SRC-006,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 1E (Landmark Description / Displaced Coordinates),0.70,Difficult Case 9: Landmark-based reference with spatial offset (~110m). MIXED language.
CT-DUP-006,CLUSTER-002,CT-INC-008,SYNTHETIC_EVALUATION,"Stormwater trunk drain near Trilokinath Road culvert is heavily choked with silt and solid waste, causing black wastewater to overflow.",ENGLISH,BLOCKED_DRAIN,Covered Trunk Drain Desilting,26.85423,80.94372,APPROXIMATE,WARD-034,ZONE-01,AST-DRN-001,AUTH-LMC,DUPLICATE,Direct duplicate of CT-INC-008 describing severe silt obstruction in covered municipal trunk drain along Trilokinath corridor.,CT-INC-008,YES,SYNTHETIC_EVALUATION,SRC-005,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 2A (Same Issue / English Silt Complaint),0.95,Primary benchmark anchor for CLUSTER-002.
CT-DUP-007,CLUSTER-002,CT-INC-008,SYNTHETIC_EVALUATION,"त्रिलोकीनाथ मार्ग पर बड़ा ढका हुआ नाला कचरे और गाद से पूरी तरह जाम है, नाले का गंदा पानी सड़क पर बह रहा है।",HINDI,BLOCKED_DRAIN,Covered Trunk Drain Desilting,26.85420,80.94370,APPROXIMATE,WARD-034,ZONE-01,AST-DRN-001,AUTH-LMC,DUPLICATE,Devanagari Hindi complaint describing the exact same covered culvert blockage on Trilokinath Road.,CT-DUP-006,YES,SYNTHETIC_EVALUATION,SRC-005,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 2B (Same Issue / Hindi Drain Blockage),0.95,Devanagari text matching benchmark anchor.
CT-DUP-008,CLUSTER-002,CT-INC-008,SYNTHETIC_EVALUATION,"Trilokinath road par nala choke hai aur road par ganda paani overflow ho raha hai.",HINGLISH,BLOCKED_DRAIN,Covered Trunk Drain Desilting,,,UNKNOWN,WARD-034,ZONE-01,AST-DRN-001,AUTH-LMC,POSSIBLE_DUPLICATE,Citizen cites Trilokinath road drain choke in Hinglish but GPS coordinates are completely missing; high textual relevance warrants POSSIBLE_DUPLICATE.,CT-DUP-006,NO,SYNTHETIC_EVALUATION,SRC-006,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 2C (Missing GPS Metadata),0.65,Difficult Case 10: Complaint with missing GPS. Ward/Zone derived from street text.
CT-DUP-009,CLUSTER-002,CT-INC-008,SYNTHETIC_EVALUATION,"Drain siltation downstream of Trilokinath culvert backing up into street chamber and spilling foul water.",ENGLISH,BLOCKED_DRAIN,Covered Trunk Drain Desilting,26.85455,80.94395,APPROXIMATE,WARD-034,ZONE-01,AST-DRN-001,AUTH-LMC,LIKELY_DUPLICATE,Describes backup in the same continuous covered trunk drain ~45m downstream along Trilokinath alignment.,CT-DUP-006,YES,SYNTHETIC_EVALUATION,SRC-005,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 2D (Slightly Displaced Downstream Drain Backup),0.85,Continuous linear asset distress evaluation (~45m spatial displacement).
CT-DUP-010,CLUSTER-003,CT-INC-017,SYNTHETIC_EVALUATION,"High-mast tower lighting at Chowk Chauraha roundabout completely unlit for three consecutive nights.",ENGLISH,STREETLIGHT_FAILURE,High-Mast Light Outage,26.85255,80.91024,APPROXIMATE,WARD-106,ZONE-06,AST-STL-005,AUTH-LMC,DUPLICATE,Exact duplicate of CT-INC-017 describing total blackout of the high-mast floodlight array at Chowk Chauraha.,CT-INC-017,YES,SYNTHETIC_EVALUATION,SRC-002,PHASE3D-SYNTHETIC-DUPLICATE-BENCHMARK: Scenario 3A (High-Mast Lighting Outage),0.95,Primary benchmark anchor for CLUSTER-003.
