source_id,source_name,source_type,organization,url,document_title,publication_date,accessed_date,relevant_topic,authority_supported,data_extracted,verification_status,notes
SRC-001,Lucknow Municipal Corporation Official Helpline & Contact Directory,OFFICIAL_WEBSITE,Lucknow Municipal Corporation,https://lmc.up.nic.in/helpline.aspx,LMC Official Contact and Helpline Directory,NOT_PUBLICLY_AVAILABLE,2026-09-11,"Municipal contact numbers, address, toll-free helpline, social handles",AUTH-LMC,Control Room Toll Free No. 1533; WhatsApp Nos 9219902911-14; Address Trilokinath Road Lalbagh Lucknow-226001; Email nnlko@nic.in,VERIFIED,Primary contact portal for LMC headquarters and central control room.
SRC-002,Lucknow Municipal Corporation Official Telephone Directory (Doorbhas Suchi),OFFICIAL_DOCUMENT,Lucknow Municipal Corporation,https://lmc.up.nic.in/pdf/DoorbhasSuchi.pdf,LMC Doorbhas Suchi (Telephone Directory of Officials),2024-08-01,2026-09-11,"Executive leadership, department heads, zonal officers, executive engineers",AUTH-LMC,"Designations and official CUG mobile numbers: Mayor, Municipal Commissioner, Addl Municipal Commissioners, Chief Engineers (Civil and E/M), Municipal Health Officer, Environment Engineer, 8 Zonal Officers, 8 Zonal Executive Engineers",VERIFIED,Official internal telephone directory hosted on LMC server.
SRC-003,Lucknow Municipal Corporation Sworn Corporators List 2023-2027,OFFICIAL_DOCUMENT,Lucknow Municipal Corporation,https://lmc.up.nic.in/pdf/Corporator_2023_2027_sapath_date_26_05_2023_Main_List.pdf,Sworn Corporators List 2023-2027 (Nagar Nigam Lucknow Nav Nirvachit Parshad List),2023-05-26,2026-09-11,"Ward names, ward numbers, corporator details across 110 municipal wards",AUTH-LMC,"Complete enumeration of 110 municipal wards (Ward 1 to Ward 110) with ward names, elected corporators, and residential contacts for 2023-2027 tenure",VERIFIED,Statutory list published pursuant to oath taken on 26-05-2023 following municipal general elections.
SRC-004,Lucknow Municipal Corporation Final Delimitation Notification 2022,OFFICIAL_NOTIFICATION,"Department of Urban Development, Government of Uttar Pradesh",https://lmc.up.nic.in/pdf/DelimiationfinalNotification31_10_2022HINDI.pdf,Uttar Pradesh Gazette Delimitation Notification No. 1774/9-1-2022,2022-10-31,2026-09-11,"Municipal boundary delimitation, ward demarcation, zone allocation",AUTH-LMC,Statutory delimitation of Lucknow Nagar Nigam into 110 wards and 8 zones following inclusion of 88 peripheral revenue villages,VERIFIED,Definitive legal gazette establishing the 110-ward structure for the current municipal period (effective 31-Oct-2022).
SRC-005,"Uttar Pradesh Municipal Corporations Act, 1959",OFFICIAL_DOCUMENT,"Legislative Department, Government of Uttar Pradesh",https://lmc.up.nic.in/acts.aspx,"The Uttar Pradesh Municipal Corporations Act, 1959 (U.P. Act No. 2 of 1959)",1959-01-01,2026-09-11,Statutory obligatory and discretionary duties of municipal corporations,AUTH-LMC,"Chapter 5 (Powers and Duties of Authorities), Chapter 10 (Drains and Drainage), Chapter 11 (Water Supply), Chapter 12 (Streets and Public Roads), Chapter 15 (Scavenging and Cleansing / Solid Waste)",VERIFIED,"Primary legislative enactment governing municipal duties, road maintenance, drainage, and sanitation."
SRC-006,Government of Uttar Pradesh Integrated Grievance Redressal System (Jansunwai-Samadhan),GOVERNMENT_PORTAL,"Lok Shikayat Vibhag, Chief Minister Office, Government of Uttar Pradesh",https://jansunwai.up.nic.in,Jansunwai - Integrated Grievance Redressal System Portal & Governance Manual,2016-01-25,2026-09-11,"Statewide citizen grievance registration, tracking, departmental routing, L1-L3 escalation hierarchy","AUTH-LMC,AUTH-UPPWD,AUTH-MVVNL,AUTH-LKO-JALSANSTHAN,AUTH-UPJN-URBAN,AUTH-LDA","Standard operating procedure for civic complaints, CM Helpline 1076, 3-tier grievance escalation hierarchy (L1 Field Officer, L2 Department Head / Municipal Commissioner, L3 District Magistrate / Secretary)",VERIFIED,Statewide overarching grievance redressal framework.
SRC-007,"Public Works Department, Uttar Pradesh Official Web Portal & Organization Mandate",OFFICIAL_WEBSITE,"Public Works Department, Government of Uttar Pradesh",https://uppwd.gov.in,"UP PWD Citizen Charter, Role, Functions & Directory",2024-09-05,2026-09-11,"State highways, major district roads, arterial road construction and maintenance, Lucknow Circle",AUTH-UPPWD,"UPPWD role, functions, organizational hierarchy (E-in-C, Chief Engineer Lucknow Zone, Superintending Engineer Lucknow Circle, Provincial Division Lucknow), road classification jurisdiction",VERIFIED,Official portal establishing PWD jurisdiction over non-municipal highways and major district roads.
SRC-008,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL) Official Web Portal,OFFICIAL_WEBSITE,Madhyanchal Vidyut Vitran Nigam Limited / UPPCL,https://www.mvvnl.in,"MVVNL Corporate Overview, Contact Directory & Consumer Services",2024-07-13,2026-09-11,"Electricity distribution, Lucknow Electricity Supply Administration (LESA), substation management, power outages, electrical poles",AUTH-MVVNL,Corporate office 4-A Gokhale Marg Lucknow; 1912 toll-free helpline; LESA urban electricity supply mandate; demarcation between power supply infrastructure and lighting fixtures,VERIFIED,Official portal for power distribution in Lucknow district.
SRC-009,Uttar Pradesh Jal Nigam (Urban) Official Web Portal,OFFICIAL_WEBSITE,"Uttar Pradesh Jal Nigam (Urban), Department of Urban Development",http://jn.upsdc.gov.in,UP Jal Nigam (Urban) Organization Mandate & Project Portfolio,2026-08-31,2026-09-11,"Capital infrastructure for urban water supply, sewerage treatment plants (STPs), trunk sewers under AMRUT / Namami Gange",AUTH-UPJN-URBAN,"Capital scheme execution, sewage treatment plant construction, major trunk lines; operational relief and transfer of maintenance to urban local bodies",VERIFIED,Official portal for state urban water/sewerage capital engineering.
SRC-010,District Administration Lucknow Official Portal (National Informatics Centre),GOVERNMENT_PORTAL,"District Administration Lucknow, Government of Uttar Pradesh",https://lucknow.nic.in/who-is-who/,District Administration Lucknow - Who is Who & Public Utilities Directory,2024-08-01,2026-09-11,"District leadership, administrative setup, inter-agency coordination, utility listings","AUTH-LMC,AUTH-LDA,AUTH-UPPWD,AUTH-MVVNL","Key administrative contacts: District Magistrate Lucknow (dmluc@nic.in, 9415005000), Vice Chairman LDA (0522-2307868), Municipal Commissioner Lucknow (8189077822), CDO Lucknow (9454465461)",VERIFIED,Official district government portal.
SRC-011,"Uttar Pradesh Water Supply and Sewerage Act, 1975 & LMC Operational Records",OFFICIAL_DOCUMENT,"Lucknow Jal Sansthan / Department of Urban Development, GoUP",https://lmc.up.nic.in/procedure.aspx,"The Uttar Pradesh Water Supply and Sewerage Act, 1975 (U.P. Act No. 43 of 1975)",1975-08-23,2026-09-11,"Statutory constitution, functions and duties of Lucknow Jal Sansthan for water supply and sewerage operation & maintenance",AUTH-LKO-JALSANSTHAN,"Section 18 & 20 establishing Jal Sansthan for Lucknow local area; Mayor as ex-officio Chairman; General Manager as executive head; operational responsibility for water distribution pipe leakages, potable supply, and sewer line clearance",VERIFIED,Authoritative statutory enactment and LMC operational procedure documentation.
SRC-012,"Lucknow Development Authority Mandate & UP Urban Planning and Development Act, 1973",OFFICIAL_DOCUMENT,"Lucknow Development Authority / Housing & Urban Planning Department, GoUP",https://lucknow.nic.in/who-is-who/,"The Uttar Pradesh Urban Planning and Development Act, 1973 (U.P. Act No. 30 of 1973) & LDA Administrative Setup",1973-09-02,2026-09-11,"Urban development, colony infrastructure execution, road and civic maintenance in developing and un-transferred housing sectors",AUTH-LDA,"Office of Vice Chairman LDA Lucknow (Phone 0522-2307868, Vipin Khand Gomti Nagar); infrastructure maintenance in planned schemes prior to formal municipal handover to LMC",VERIFIED,Statutory act and official district administration leadership listing.
SRC-013,Energy Efficiency Services Limited (EESL) / LMC Street Lighting National Programme Records,OFFICIAL_DOCUMENT,Energy Efficiency Services Limited / Lucknow Municipal Corporation,https://eeslindia.org,National Street Lighting Programme (SLNP) Implementation & Municipal Concession Framework,2020-01-01,2026-09-11,"Public street lighting retrofit, LED luminaire deployment, Centralized Control & Monitoring System (CCMS), operational maintenance concession",AUTH-LMC,"Concessionaire operational framework supporting LMC Electrical & Mechanical Department for fixture repair and timer control, operating under LMC supervision (1533 helpline)",VERIFIED,Official national programme documentation and municipal partnership records.
