asset_id,asset_type,asset_name,geometry_type,latitude,longitude,location_status,location_basis,ward_id,zone_id,authority_id,department,service,responsibility_type,responsibility_status,ownership_status,source_id,source_reference,verification_status,confidence,notes
AST-ROAD-001,ROAD,Mahatma Gandhi Marg (Hazratganj Arterial Corridor - PWD Section),APPROXIMATE_POINT,26.85025,80.94380,APPROXIMATE,MAP_DERIVED,WARD-034,ZONE-01,AUTH-UPPWD,DEPT-PWD-LKO-CIRCLE,SRV-PWD-ROAD-REPAIR,MAINTENANCE,VERIFIED,UNKNOWN,SRC-007,Lucknow Circle / Provincial Division Road Schedule,PARTIALLY_VERIFIED,HIGH,"Arterial State Highway / Major District Road corridor maintained by UP PWD Provincial Division per PWD Citizen Charter and road schedule. Road responsibility verified; exact cadastral parcel bounds not published; legal land title unevidenced."
AST-ROAD-002,ROAD,Hazratganj Market Internal Commercial Street (Janpath to Mayfair Link),APPROXIMATE_POINT,26.85240,80.94510,APPROXIMATE,MAP_DERIVED,WARD-034,ZONE-01,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-POTHOLE,MAINTENANCE,INFERRED,INFERRED,SRC-005,Chapter 12 (Streets and Public Roads),PARTIALLY_VERIFIED,HIGH,"Internal municipal market lane. Maintenance inferred to LMC Civil Engineering Dept Zone 1 under UP Municipal Corporations Act 1959 Ch 12; location approximate; ownership inferred from statutory vesting."
AST-ROAD-003,ROAD,Aishbagh Industrial Area Sector Road (Mill Road Corridor),APPROXIMATE_POINT,26.84434,80.88794,APPROXIMATE,MAP_DERIVED,WARD-026,ZONE-02,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-ROAD-REPAIR,MAINTENANCE,INFERRED,INFERRED,SRC-005,Chapter 12 (Streets and Public Roads),PARTIALLY_VERIFIED,HIGH,"Municipal sector road serving Aishbagh industrial/residential cluster. Inferred to LMC Civil Division Zone 2 under UP Municipal Corporations Act 1959 Ch 12; location approximate."
AST-ROAD-004,ROAD,Aliganj Sector B Internal Residential Colony Road,APPROXIMATE_POINT,26.85110,80.92989,APPROXIMATE,MANUALLY_ESTIMATED,WARD-109,ZONE-03,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-POTHOLE,MAINTENANCE,INFERRED,INFERRED,SRC-002,Item 30 (Executive Engineer Zone 3),PARTIALLY_VERIFIED,HIGH,"Developed residential sector road transferred to LMC for maintenance. Executive Engineer Civil Zone 3 responsible per LMC Doorbhas Suchi Item 30; location approximate."
AST-ROAD-005,ROAD,Sitapur Road Arterial Corridor (Mohibullapur Section),APPROXIMATE_POINT,26.90419,80.90616,APPROXIMATE,MAP_DERIVED,WARD-016,ZONE-03,AUTH-UPPWD,DEPT-PWD-LKO-CIRCLE,SRV-PWD-ROAD-REPAIR,MAINTENANCE,VERIFIED,UNKNOWN,SRC-007,Lucknow Circle / Provincial Division Road Schedule,PARTIALLY_VERIFIED,HIGH,"Major arterial road (NH-24 / State highway feeder) passing through Ward 16 under jurisdiction of UP PWD Lucknow Circle per Citizen Charter. Legal title unevidenced; location approximate."
AST-ROAD-006,ROAD,Vipin Khand Commercial Sector Road (LDA Scheme),APPROXIMATE_POINT,26.84850,80.97820,APPROXIMATE,MAP_DERIVED,WARD-037,ZONE-04,AUTH-LDA,DEPT-LDA-ENG,SRV-LDA-SECTOR-MAINT,MAINTENANCE,VERIFIED,INFERRED,SRC-012,Section 15 & Engineering Division Directory,PARTIALLY_VERIFIED,MEDIUM,"Planned layout road in LDA developed Vipin Khand scheme adjacent to LDA Headquarters; civil maintenance under LDA Engineering Division prior to full municipal handover. Note: Outside DataMeet pre-2022 legacy polygon envelope."
AST-ROAD-007,ROAD,Kanpur Road Arterial Highway Stretch (Transport Nagar Corridor),APPROXIMATE_POINT,26.75753,80.85262,APPROXIMATE,MAP_DERIVED,WARD-010,ZONE-05,AUTH-UPPWD,DEPT-PWD-LKO-CIRCLE,SRV-PWD-ROAD-REPAIR,MAINTENANCE,VERIFIED,UNKNOWN,SRC-007,Lucknow Circle / Provincial Division Road Schedule,PARTIALLY_VERIFIED,HIGH,"Major intercity arterial highway corridor in southern Lucknow under PWD Provincial Division per PWD Charter. Location approximate; ownership status unknown."
AST-ROAD-008,ROAD,Guru Nanak Nagar Market Commercial Street,APPROXIMATE_POINT,26.88058,80.99191,APPROXIMATE,MAP_DERIVED,WARD-023,ZONE-05,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-FOOTPATH,MAINTENANCE,INFERRED,INFERRED,SRC-005,Chapter 12 (Streets and Public Roads),PARTIALLY_VERIFIED,HIGH,"Municipal commercial road and pedestrian walkway in Alambagh trade hub. Maintained by LMC Civil Division Zone 5 per UP Act 1959 Ch 12; location approximate."
AST-ROAD-009,ROAD,Chowk Heritage Bazaar Street (Victoria Street Junction),APPROXIMATE_POINT,26.85293,80.90960,APPROXIMATE,MAP_DERIVED,WARD-106,ZONE-06,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-POTHOLE,MAINTENANCE,INFERRED,INFERRED,SRC-005,Chapter 12 (Streets and Public Roads),PARTIALLY_VERIFIED,HIGH,"Historical urban street in old city core. Obligatory maintenance by LMC under UP Municipal Corporations Act 1959 Ch 12; location approximate."
AST-ROAD-010,ROAD,Indira Nagar Sector 14 Residential Avenue,APPROXIMATE_POINT,26.90533,80.94516,APPROXIMATE,MANUALLY_ESTIMATED,WARD-080,ZONE-07,AUTH-LMC,DEPT-LMC-CIVIL,SRV-LMC-ROAD-REPAIR,MAINTENANCE,INFERRED,INFERRED,SRC-002,Item 33 (Executive Engineer Zone 7),PARTIALLY_VERIFIED,HIGH,"Transferred residential colony avenue in Indira Nagar. Maintained by LMC Civil Division Zone 7 per Doorbhas Suchi Item 33; location approximate."
